id	actor	object	boundary	metric_basis	temporal_structure	intervention_logic	normative_threshold	evidence_basis	accountability_relation	sustainability_purpose	primary_relation	secondary_relations	modeling_consequence	recoding_note
C1a	Company	Operations	Operational boundary	CO2e inventory with compensation	2030 target	Reduction plus compensation	Carbon-neutrality claim criteria	Claim substantiation, inventory, and assurance evidence	Carbon-neutrality standard / assurance	Climate mitigation	Equivalence with provenance	None	merge with provenance	Operational carbon-neutrality claim gives an operations object, target year, compensation logic, and ISO claim evidence.
C1b	Producer	Product	Product boundary / life-cycle frame	Carbon footprint or CO2e accounting	Product life-cycle	Reduction plus compensation	Carbon-neutrality claim criteria	Claim substantiation, inventory, and assurance evidence	Product documentation / consumer information	Climate mitigation	Boundary shift	Object shift; temporal structure shift	split or qualify	Product carbon neutrality changes the bound object from operations to product life-cycle.
C1c	Company	Direct and purchased-energy emissions	Scope 1 and 2	CO2e under GHG accounting	Reporting or operating period	Reduction plus market instruments or compensation	Carbon-neutrality claim criteria	GHG inventory and accounting evidence	Disclosure / inventory provenance	Climate mitigation	Boundary shift	Evidence basis shift; metric basis shift	qualify	Scope 1 and 2 narrows the operational claim to a GHG Protocol scope boundary.
C1d	Company or site operator	Facility	Site boundary	Carbon or CO2e accounting	Reporting or operating period	Reduction plus compensation	Carbon-neutrality claim criteria	Claim substantiation, inventory, and assurance evidence	Operational evidence	Climate mitigation	Boundary shift	Actor shift; object shift	split or qualify	Site-level facility neutrality binds a facility boundary rather than general operations.
C1e	Company	Operations	Unspecified or partial scope	CO2e inventory with compensation	Unspecified	Reduction plus possible compensation	Carbon-neutrality claim criteria	Unspecified	Internal planning note	Climate mitigation	Underspecification	Boundary shift possible; evidence basis missing	complete	Claim omits stated scope and evidence, so preservation of the operational boundary cannot be judged.
C2a	Company	Value-chain emissions	Scope 1, 2, and relevant scope 3	CO2e target metric	2050 target with pathway	Deep reductions and residual neutralization	Net-zero or science-based target criteria	Target documentation and validation evidence	Target validation	Climate mitigation	Equivalence with provenance	None	merge with provenance	SBTi net zero preserves value-chain scope, long-term pathway, and validation evidence.
C2b	Company	Corporate target	Scope coverage governed by criteria	CO2e pathway metrics	Near-term milestones	Pathway-aligned reductions	Net-zero or science-based target criteria	Target documentation and validation evidence	Target validation	Climate mitigation	Refinement	Temporal structure shift	qualify	Near-term science-based target is a milestone-based target under SBTi criteria.
C2c	Reporting organization	Value-chain emissions	Scope 3 categories	CO2e inventory metrics	Reporting period	Accounting, not target action	Unspecified	GHG inventory and accounting evidence	Disclosure / inventory provenance	Climate mitigation	Trace-only relation	Intervention substitution; normative threshold missing	trace	Inventory accounting shares emissions context but is not a net-zero target commitment.
C2d	Company	Residual emissions	Net-zero target boundary	CO2e residual-emissions metric	Target year / residual period	Neutralization after deep reductions	Net-zero or science-based target criteria	Target documentation and validation evidence	Target validation / reporting	Climate mitigation	Refinement	Object refinement; intervention logic refinement	qualify	Residual-emissions neutralization specifies the residual treatment within a net-zero target.
C2e	Company	Corporate target	Unspecified or partial scope	CO2e target metric	2050 target without baseline	Planned reductions	Net-zero or science-based target criteria	Unspecified	Internal commitment	Climate mitigation	Underspecification	Boundary missing; evidence basis missing; temporal baseline missing	complete	Missing baseline and scope prevent judging alignment with SBTi net-zero coverage.
