id	source	claim_family	claim_form	actor	object	boundary	metric_basis	temporal_structure	intervention_logic	normative_threshold	evidence_basis	accountability_relation	sustainability_purpose	alignment_test	primary_relation	secondary_relations	modeling_consequence	coding_rationale
C1a	ISO 14068-1	Operational carbon neutrality	Carbon-neutral operations by 2030	Company	Operations	Operational boundary	Carbon or CO2e accounting	2030 target	Reduction plus possible compensation	Carbon-neutrality claim criteria	Claim substantiation, inventory, and assurance evidence	Carbon-neutrality standard / assurance	Climate mitigation	C1=C2	Boundary shift	Intervention substitution	Split dashboard fields; trace without merging	ISO 14068-1 source semantics code object/boundary as Operations / Operational boundary, so preservation requires separation or qualification. Secondary relation recorded: Intervention substitution. Implied consequence: Split dashboard fields; trace without merging.
C1b	ISO 14068-1	Operational carbon neutrality	Carbon-neutral product claim	Producer	Product or product system	Product boundary / life-cycle frame	Carbon footprint or CO2e accounting	Reporting period or target period	Reduction plus compensation	Carbon-neutrality claim criteria	Claim substantiation, inventory, and assurance evidence	Carbon-neutrality standard / evidence	Climate mitigation	C1=C3	Boundary shift		Treat as component or interim claim	ISO 14068-1 source semantics code object/boundary as Product or product system / Product boundary / life-cycle frame, so preservation requires separation or qualification. Implied consequence: Treat as component or interim claim.
C1c	GHG Protocol	Operational carbon neutrality	Scope 1 and 2 neutrality claim	Company	Direct and purchased-energy emissions	Scope 1 and 2	CO2e under GHG accounting	Target year	Reduction plus market instruments or compensation	Carbon-neutrality claim criteria	GHG inventory and accounting evidence	Disclosure / assurance	Climate mitigation	C1=C2	Boundary shift		Qualify as operational or scope-limited claim	GHG Protocol source semantics code object/boundary as Direct and purchased-energy emissions / Scope 1 and 2, so preservation requires separation or qualification. Implied consequence: Qualify as operational or scope-limited claim.
C1d	ISO 14068-1	Operational carbon neutrality	Site-level carbon-neutral facility claim	Company or site operator	Facility	Site boundary	CO2e inventory with compensation	Reporting period	Reduction plus compensation	Carbon-neutrality claim criteria	Claim substantiation, inventory, and assurance evidence	Assurance or claim substantiation	Climate mitigation	C1=C2	Boundary shift	Intervention substitution	Keep facility claim separate from value-chain target	ISO 14068-1 source semantics code object/boundary as Facility / Site boundary, so preservation requires separation or qualification. Secondary relation recorded: Intervention substitution. Implied consequence: Keep facility claim separate from value-chain target.
C1e	Early transition model	Operational carbon neutrality	Carbon-neutral operations claim without stated scope	Company	Operations	Unspecified	CO2e target metric	Target year	Reduction plus possible compensation	Unspecified	Unspecified	Internal planning note	Climate mitigation	C1?=C2	Underspecification		Complete boundary before alignment	Early transition model formulation leaves boundary, metric, time, object insufficiently specified, so completion is required before preservation can be judged. Implied consequence: Complete boundary before alignment.
C2a	SBTi	Corporate net zero	Net-zero value-chain emissions by 2050	Company	Value-chain emissions	Scope 1, 2, and relevant scope 3	CO2e under GHG accounting	2050 target with pathway	Deep reductions and residual neutralization	Net-zero or science-based target criteria	Target documentation and validation evidence	Target validation / reporting	Climate mitigation	C1=C2	Boundary shift	Intervention substitution	Do not merge operational neutrality into corporate net zero	SBTi source semantics code object/boundary as Value-chain emissions / Scope 1, 2, and relevant scope 3, so preservation requires separation or qualification. Secondary relation recorded: Intervention substitution. Implied consequence: Do not merge operational neutrality into corporate net zero.
C2b	SBTi	Corporate net zero	Near-term science-based target	Company	Value-chain emissions within target boundary	Scope coverage governed by criteria	CO2e pathway metrics	Near-term milestones	Emissions reductions	Net-zero or science-based target criteria	Target documentation and validation evidence	Target validation	Climate mitigation	C2=C3	Accountability qualification		Model validation and pathway evidence	SBTi source semantics preserve target content but code accountability/evidence as Target validation, so validation or reporting status must be modeled separately. Implied consequence: Model validation and pathway evidence.
C2c	GHG Protocol	Corporate net zero	Value-chain emissions inventory	Company	Value-chain emissions	Scope 3 categories	CO2e inventory metrics	Reporting period	Accounting, not target action	Net-zero or science-based target criteria	GHG inventory and accounting evidence	Disclosure / inventory provenance	Climate mitigation	C2 related to C4	Trace-only relation		Link for traceability; block equivalence	GHG Protocol source semantics share sustainability context but do not preserve enough object, boundary, accountability, or intervention structure for merge. Implied consequence: Link for traceability; block equivalence.
C2d	SBTi	Corporate net zero	Residual-emissions neutralization claim	Company	Residual emissions	Net-zero target boundary	CO2e residual-emissions metric	Target year / residual period	Neutralization after deep reductions	Net-zero or science-based target criteria	Target documentation and validation evidence	Target validation	Climate mitigation	C1=C2	Intervention substitution		Record residual-treatment difference	SBTi source semantics code intervention as Neutralization after deep reductions, which changes the action logic relative to the tested target. Implied consequence: Record residual-treatment difference.
C2e	Early transition model	Corporate net zero	Net-zero target with missing baseline and scope	Company	Corporate emissions	Unspecified	CO2e target metric	2050 target without baseline	Planned reductions	Unspecified	Source-framework evidence	Internal commitment	Climate mitigation	C2?=C3	Underspecification		Complete baseline and scope before validation alignment	Early transition model formulation leaves boundary, metric, time, object insufficiently specified, so completion is required before preservation can be judged. Implied consequence: Complete baseline and scope before validation alignment.
C3a	SBTi	Science-based net-zero target	Science-based net-zero target	Company	Corporate target	Governed by validation criteria	CO2e pathway metrics	Long-term and interim milestones	Pathway-aligned reductions	Net-zero or science-based target criteria	Target documentation and validation evidence	External validation	Climate mitigation	C2=C3	Accountability qualification		Model validation and pathway evidence	SBTi source semantics preserve target content but code accountability/evidence as External validation, so validation or reporting status must be modeled separately. Implied consequence: Model validation and pathway evidence.
C3b	SBTi	Science-based target	Sectoral pathway target	Company / sector	Target pathway	Sector-specific boundary	Sectoral pathway metrics	Target and milestones	Emissions reductions	Net-zero or science-based target criteria	Target documentation and validation evidence	Validation criteria	Climate mitigation	C2=C3	Refinement		Preserve pathway assumptions	SBTi source semantics add criteria or detail while preserving the broader commitment; the added detail must remain explicit. Implied consequence: Preserve pathway assumptions.
